# Constructed from biom file
#OTU ID	021715M_2	021715M_5	021715M_6	022214M_7	022214M_8	022214M_9	033114M_0	033114M_4	033114M_5	042014M_3	042014M_6	042014M_7	050213M_3	050213M_4	050213M_7	052014M_2	052014M_3	052014M_4	061914M_1	061914M_2	061914M_3	071513M_1	071513M_7	071513M_9	071514M_17	071514M_18	071514M_5	081714M_2	081714M_7	081714M_8	090413M_1	090413M_2	090413M_3	091714M_11	091714M_12	091714M_4	101914M_14	101914M_16	101914M_3	102313M_13	102313M_2	102313M_3	111914M_10	111914M_11	111914M_2	taxonomy
58e1833fd8845ff26cfd811af7b0734b	28.0	19503.0	20255.0	1179.0	13232.0	766.0	27585.0	18999.0	23.0	24690.0	33764.0	84.0	19358.0	24317.0	7199.0	1419.0	24311.0	37689.0	21983.0	16131.0	6684.0	21990.0	18808.0	17756.0	158.0	32512.0	24415.0	23495.0	18502.0	22220.0	20208.0	22012.0	21426.0	19908.0	20981.0	4038.0	9220.0	3364.0	14125.0	19367.0	25403.0	24990.0	23276.0	17967.0	15621.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Burkholderia-Caballeronia-Paraburkholderia
53d24f419081d3cfe962d14f70b10626	0.0	737.0	0.0	1665.0	0.0	37460.0	0.0	0.0	300.0	232.0	62.0	2270.0	41.0	533.0	28849.0	39533.0	122.0	24.0	111.0	14590.0	18415.0	107.0	127.0	751.0	409.0	305.0	0.0	0.0	0.0	40.0	0.0	0.0	55.0	0.0	0.0	21611.0	0.0	26930.0	21848.0	11092.0	367.0	0.0	2498.0	73.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Escherichia-Shigella
875c3cc2d4959bb96dcd9eda18431e9e	0.0	1141.0	864.0	0.0	2116.0	35.0	468.0	1910.0	0.0	1069.0	730.0	0.0	6339.0	4802.0	861.0	115.0	594.0	821.0	246.0	3261.0	1876.0	6285.0	5815.0	5350.0	1354.0	544.0	567.0	2423.0	5451.0	2608.0	5387.0	1818.0	6353.0	2926.0	2489.0	1070.0	0.0	22.0	1938.0	2745.0	1876.0	1625.0	628.0	1730.0	645.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus
05c51e7d82330e9c1d2df4e1a479fe55	0.0	1478.0	2937.0	0.0	1025.0	131.0	2662.0	2142.0	0.0	2387.0	4665.0	11.0	1791.0	1900.0	358.0	298.0	2251.0	3668.0	1381.0	1131.0	354.0	1689.0	1522.0	1328.0	0.0	3756.0	2219.0	1631.0	1085.0	2357.0	1545.0	1759.0	1263.0	1901.0	1460.0	101.0	726.0	652.0	1058.0	924.0	3361.0	2685.0	2122.0	2281.0	2031.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Burkholderia-Caballeronia-Paraburkholderia
c6db1658335e89bb2c641da023e9e11e	0.0	0.0	0.0	278.0	601.0	176.0	0.0	0.0	0.0	0.0	0.0	0.0	2291.0	2713.0	1840.0	333.0	0.0	0.0	0.0	3151.0	4498.0	2485.0	1597.0	4403.0	369.0	0.0	14.0	0.0	67.0	0.0	140.0	0.0	1157.0	0.0	0.0	5136.0	0.0	781.0	1580.0	3102.0	13.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Pantoea
3b298189ac33424b4f1525d049f9b888	37.0	413.0	0.0	317.0	6906.0	66.0	456.0	713.0	21.0	1618.0	114.0	0.0	88.0	262.0	124.0	395.0	1865.0	559.0	0.0	605.0	1906.0	178.0	391.0	1362.0	2759.0	360.0	68.0	100.0	1532.0	497.0	1470.0	104.0	322.0	41.0	94.0	348.0	0.0	8.0	115.0	907.0	618.0	136.0	22.0	667.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium
4fa90ee6d113286f13b4ac61794e555d	0.0	289.0	325.0	0.0	398.0	0.0	232.0	1481.0	0.0	717.0	754.0	0.0	1291.0	1519.0	167.0	0.0	656.0	717.0	46.0	903.0	419.0	1696.0	1500.0	1148.0	0.0	549.0	581.0	1849.0	2321.0	1860.0	1307.0	1719.0	1289.0	1911.0	1653.0	81.0	894.0	49.0	522.0	832.0	2218.0	1614.0	263.0	1376.0	429.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus
11f9f564702aa3ae62b2d14fee255794	0.0	295.0	227.0	0.0	219.0	0.0	500.0	1992.0	0.0	779.0	1326.0	0.0	444.0	422.0	66.0	0.0	854.0	561.0	234.0	199.0	91.0	579.0	1183.0	442.0	71.0	428.0	761.0	2965.0	572.0	2247.0	664.0	2971.0	1299.0	2747.0	2206.0	59.0	6.0	0.0	146.0	242.0	2401.0	2263.0	728.0	1444.0	577.0	k__Bacteria; p__Thermotogae; c__Thermotogae; o__Petrotogales; f__Petrotogaceae; g__Oceanotoga; s__Oceanotoga sp. JC186
65d5c0c97348500e3666eace04820288	43.0	688.0	213.0	0.0	1321.0	577.0	1028.0	1006.0	0.0	1487.0	479.0	0.0	239.0	559.0	415.0	582.0	2672.0	1522.0	260.0	425.0	78.0	193.0	727.0	355.0	1153.0	1058.0	605.0	800.0	661.0	715.0	694.0	435.0	289.0	612.0	695.0	197.0	223.0	298.0	221.0	221.0	800.0	654.0	827.0	771.0	639.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium
cd0f6fe66a7ca2d8c5bf4bd4f0086dbf	100.0	726.0	539.0	666.0	1157.0	84.0	288.0	521.0	0.0	359.0	443.0	669.0	1863.0	1825.0	254.0	236.0	443.0	478.0	59.0	935.0	550.0	1669.0	1621.0	1157.0	2610.0	293.0	219.0	503.0	2409.0	386.0	1623.0	436.0	1531.0	532.0	495.0	437.0	241.0	115.0	482.0	692.0	710.0	372.0	465.0	333.0	355.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Neisseriaceae; g__Uruburuella
