#SampleID	BarcodeSequence	LinkerPrimerSequence	Order	Name	Days	Weeks	Months	Months_cat	Months_mitigation	Mitigation_status_num	Mitigation_status	Mitigation_status_begin_end	ASR	Concrete	Type	Type2	Input	Input_num	Collected	Year	Season	Season_num	Summer	Winter	S_Yr	Month	Halves	half_char	Thirds	Fourths	Concentration	Extracted	Ground	Extracted2	Rhodoluna	Rhodoluna_num	num_conc	neg_control	old_sample_ids	Description	ph	ppt	Conduc	Ca	Mg	K	Na	NH4	NO3	Cl	SO4	Br	svol	ppt.1	subppt	temp_avg	hum_avg	dew_pt_avg	wind_spd_avg	pressure_avg	precip_avg	precip_sum	snow_sum	rain_sum	temp_max	wind_spd_max	wind_gust	temp_min	time_to_grind	time_to_extract	grind_to_extract	faith_pd_raw	shannon_raw	evenness_raw	observed_otus_raw	total_reads_in_sample	reads_in_negs_per_sample	percent_reads_in_neg_controls	faith_pd_decontam	shannon_decontam	evenness_decontam	observed_otus_decontam	contam_counts_per_sample	percent_contam_reads	avg_conc	k__Bacteria;f__NA	k__Bacteria;p__Acidobacteria	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Chloroflexi	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Deinococcus-Thermus	k__Bacteria;p__Epsilonbacteraeota	k__Bacteria;p__Firmicutes	k__Bacteria;p__Fusobacteria	k__Bacteria;p__Patescibacteria	k__Bacteria;p__Proteobacteria	k__Bacteria;p__Spirochaetes	k__Bacteria;p__Thermotogae	k__Bacteria;p__Verrucomicrobia	k__Bacteria;f__NA;g__NA	k__Bacteria;p__Acidobacteria;c__Subgroup 5	k__Bacteria;p__Actinobacteria;c__Actinobacteria	k__Bacteria;p__Bacteroidetes;c__Bacteroidia	k__Bacteria;p__Chloroflexi;c__Chloroflexia	k__Bacteria;p__Cyanobacteria;c__Oxyphotobacteria	k__Bacteria;p__Deinococcus-Thermus;c__Deinococci	k__Bacteria;p__Epsilonbacteraeota;c__Campylobacteria	k__Bacteria;p__Firmicutes;c__Bacilli	k__Bacteria;p__Firmicutes;c__Clostridia	k__Bacteria;p__Firmicutes;c__Erysipelotrichia	k__Bacteria;p__Firmicutes;c__Negativicutes	k__Bacteria;p__Fusobacteria;c__Fusobacteriia	k__Bacteria;p__Patescibacteria;c__Saccharimonadia	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	k__Bacteria;p__Spirochaetes;c__Spirochaetia	k__Bacteria;p__Thermotogae;c__Thermotogae	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae
101914U_1	BBB	BBB	13	101914U.1	535	77	17	17_	17_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Low	1	10/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	October	2	second	3	4	Low	7/25/2016	5/19/2016	July	na	0	0.073	FALSE	101914U1.fastq	101914U	5.096666667	24.384	13.03333333	0.124	0.0432	0.044666667	0.709333333	0.4732	0.735666667	1.262	0.7388	0.006666667	1181.533333	24.384	24.384	63.08159091	77.14772727	55.09215909	7.703185438	30.04457955	0.03525641	5.5	0	119	82.9	24.2	34.5	39.9	578	645	67	14.97454083	3.184445213	0.611282027	37	10205	8857	0.867907888	7.415992386	3.696942329	0.924235582	16	8870	0.869181774	0.063666667	0.0	0.0	0.016045197740112992	0.0	0.0	0.0	0.0	0.0	0.05423728813559322	0.005649717514124294	0.0	0.9222598870056496	0.0	0.001807909604519774	0.0	0.0	0.0	0.016045197740112992	0.0	0.0	0.0	0.0	0.0	0.05423728813559322	0.0	0.0	0.0	0.005649717514124294	0.0	0.023615819209039546	0.0004519774011299435	0.8981920903954803	0.0	0.001807909604519774	0.0
101914U_2	BBB	BBB	13	101914U.2	535	77	17	17_	17_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	10/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	October	2	second	3	4	Low	7/25/2016	5/19/2016	July	na	0	0.068	FALSE	101914U2.fastq	101914U	5.096666667	24.384	13.03333333	0.124	0.0432	0.044666667	0.709333333	0.4732	0.735666667	1.262	0.7388	0.006666667	1181.533333	24.384	24.384	63.08159091	77.14772727	55.09215909	7.703185438	30.04457955	0.03525641	5.5	0	119	82.9	24.2	34.5	39.9	578	645	67	28.20846809	3.828820286	0.600595546	83	54549	52732	0.966690498	35.1086441	5.893235711	0.921924761	84	53043	0.972391795	0.063666667	0.0	0.0	0.01894890729842186	0.00558533568242306	0.0	0.0	0.0	9.371368594669566e-05	0.08115605202983844	0.0020054728792592872	0.0	0.869456835476253	0.0	0.022753682947857706	0.0	0.0	0.0	0.01894890729842186	0.00558533568242306	0.0	0.0	0.0	9.371368594669566e-05	0.06606814859242045	0.015087903437417999	0.0	0.0	0.0020054728792592872	0.0	0.1409828691382089	0.005416651047719009	0.723057315290325	0.0	0.022753682947857706	0.0
101914U_8	BBB	BBB	13	101914U.8	535	77	17	17_	17_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Low	1	10/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	October	2	second	3	4	Low	5/26/2016	5/19/2016	May	na	0	0.05	FALSE	101914U8.fastq	101914U	5.096666667	24.384	13.03333333	0.124	0.0432	0.044666667	0.709333333	0.4732	0.735666667	1.262	0.7388	0.006666667	1181.533333	24.384	24.384	63.08159091	77.14772727	55.09215909	7.703185438	30.04457955	0.03525641	5.5	0	119	82.9	24.2	34.5	39.9	578	585	7	18.35047865	4.194628412	0.799292369	38	22073	10991	0.497938658	12.43961193	3.706032899	0.808301681	24	11581	0.524668147	0.063666667	0.0	0.0	0.08963138056602568	0.0376924551204242	0.0	0.22724078451415064	0.0	0.0	0.05966907302114611	0.0	0.0	0.5857663067782534	0.0	0.0	0.0	0.0	0.0	0.08963138056602568	0.0376924551204242	0.0	0.22724078451415064	0.0	0.0	0.05966907302114611	0.0	0.0	0.0	0.0	0.0	0.05602759854341021	0.0	0.5297387082348433	0.0	0.0	0.0
111914U_20	BBB	BBB	14	111914U.20	566	81	18	18_	18_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	11/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	November	2	second	3	4	Medium	9/1/2016	5/31/2016	September	na	0	0.089	FALSE	111914U20.fastq	111914U	5.381666667	29.21	9.475	0.1435	0.0738	0.0255	0.170666667	0.2752	0.990625	0.301	0.7512	0.005375	1340.766667	29.21	29.21	49.7323185	69.85245902	39.07400468	8.144548652	29.9731733	0.034971098	6.05	2	136	73	33.4	41.4	24.1	559	652	93	53.43863861	6.706041638	0.874044561	204	44942	9476	0.210849539	54.63467593	6.541283817	0.875002283	178	11017	0.245138178	0.063	0.0	0.0	0.060473443405609714	0.024600490683641667	0.0	0.08228897287978251	0.0	0.0	0.09429082952058883	0.0	0.0	0.7383462635103775	0.0	0.0	0.0	0.0	0.0	0.060473443405609714	0.024600490683641667	0.0	0.08228897287978251	0.0	0.0	0.08878721570187652	0.005503613818712287	0.0	0.0	0.0	0.0	0.34553411577481596	0.0	0.39281214773556133	0.0	0.0	0.0
111914U_8	BBB	BBB	14	111914U.8	566	81	18	18_	18_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	11/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	November	2	second	3	4	Low	6/22/2016	5/31/2016	June	na	0	0.05	FALSE	111914U8.fastq	111914U	5.381666667	29.21	9.475	0.1435	0.0738	0.0255	0.170666667	0.2752	0.990625	0.301	0.7512	0.005375	1340.766667	29.21	29.21	49.7323185	69.85245902	39.07400468	8.144548652	29.9731733	0.034971098	6.05	2	136	73	33.4	41.4	24.1	559	581	22	17.84278383	2.35024952	0.408391914	54	56269	54729	0.972631467	13.87882442	4.425118367	0.910896599	29	54849	0.97476408	0.063	0.0	0.0	0.0007438181455343699	0.0021044610946826074	0.0	0.0	0.0	0.0019230420347961757	0.05914261352297672	0.0007256762395457266	0.0	0.9233504471979828	0.0	0.012009941764481776	0.0	0.0	0.0	0.0007438181455343699	0.0021044610946826074	0.0	0.0	0.0	0.0019230420347961757	0.0445928049200849	0.014549808602891819	0.0	0.0	0.0007256762395457266	0.0	0.00326554307795577	0.000997804829375374	0.9190870992906516	0.0	0.012009941764481776	0.0
111914U_9	BBB	BBB	14	111914U.9	566	81	18	18_	18_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	11/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	November	2	second	3	4	Low	6/22/2016	5/31/2016	June	na	0	0.05	FALSE	111914U9.fastq	111914U	5.381666667	29.21	9.475	0.1435	0.0738	0.0255	0.170666667	0.2752	0.990625	0.301	0.7512	0.005375	1340.766667	29.21	29.21	49.7323185	69.85245902	39.07400468	8.144548652	29.9731733	0.034971098	6.05	2	136	73	33.4	41.4	24.1	559	581	22	22.34874325	4.304624178	0.666409126	88	35381	12807	0.361973941	21.46495457	5.068399437	0.773259704	94	22390	0.632825528	0.063	0.0	0.0	0.05133670300225323	0.0	0.0	0.0005785274952804335	0.00036538578649290544	0.0	0.5128494001583337	0.0	0.0	0.4347786371110162	0.0	9.134644662322636e-05	0.0	0.0	0.0	0.05133670300225323	0.0	0.0	0.0005785274952804335	0.00036538578649290544	0.0	0.5128494001583337	0.0	0.0	0.0	0.0	0.0	0.005450337981852506	0.00021314170878752815	0.4291151574203762	0.0	9.134644662322636e-05	0.0
102313U_11	BBB	BBB	4	102313U.11	174	25	5	5_	5_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	10/23/2013	2013	Fall	4	FALSE	FALSE	Fall 2013	October	1	first	1	2	Medium	6/2/2016	5/31/2016	June	na	0	0.09	FALSE	102313U11.fastq	102313U	4.955	28.194	5.32	0.1035	0.023333333	0.0432	0.0915	0.165666667	0.3066	0.157	0.423666667	0.005	333.6	28.194	28.194	62.65905421	74.72433679	53.72376009	7.652710496	30.06312572	0.02795082	3.41	0	93	86	27.6	35.7	39.9	951	953	2	40.38320111	3.9297021	0.577272986	112	48665	45166	0.928100277	77.9694645	7.068207411	0.917072539	209	45590	0.936812905	0.108666667	0.0	0.0	0.012915689849787271	0.016367109490318662	0.0	0.0019319267170270036	0.0	0.0010202309629243726	0.1627376921073196	0.010527915255708953	0.0	0.7339150820526178	0.0	0.060584353564296256	0.0	0.0	0.0	0.012915689849787271	0.016367109490318662	0.0	0.0019319267170270036	0.0	0.0010202309629243726	0.1303724928366762	0.032365199270643394	0.0	0.0	0.010527915255708953	0.0	0.01528175740210124	0.0019102196752626551	0.7167231049752538	0.0	0.060584353564296256	0.0
102313U_12	BBB	BBB	4	102313U.12	174	25	5	5_	5_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	10/23/2013	2013	Fall	4	FALSE	FALSE	Fall 2013	October	1	first	1	2	Medium	6/2/2016	5/31/2016	June	na	0	0.078	FALSE	102313U12.fastq	102313U	4.955	28.194	5.32	0.1035	0.023333333	0.0432	0.0915	0.165666667	0.3066	0.157	0.423666667	0.005	333.6	28.194	28.194	62.65905421	74.72433679	53.72376009	7.652710496	30.06312572	0.02795082	3.41	0	93	86	27.6	35.7	39.9	951	953	2	27.759855430000002	2.917513426	0.458905161	82	54453	52598	0.965933925	42.39490695	6.158107136	0.924889086	101	52951	0.972416579	0.108666667	0.0	0.0	0.002542803865061875	0.005613004087321768	0.0	0.001450339982294551	0.0	0.0002825337627846528	0.08472245766702455	0.0038801303422425644	0.0	0.8747622007496559	0.0	0.026746529543613794	0.0	0.0	0.0	0.002542803865061875	0.005613004087321768	0.0	0.001450339982294551	0.0	0.0002825337627846528	0.0634005763688761	0.021321881298148458	0.0	0.0	0.0038801303422425644	0.0	0.018044489649846496	0.0014126688139232638	0.8553050422858864	0.0	0.026746529543613794	0.0
102313U_3	BBB	BBB	4	102313U.3	174	25	5	5_	5_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Low	1	10/23/2013	2013	Fall	4	FALSE	FALSE	Fall 2013	October	1	first	1	2	Medium	7/27/2016	5/31/2016	July	na	0	0.158	FALSE	102313U3.fastq	102313U	4.955	28.194	5.32	0.1035	0.023333333	0.0432	0.0915	0.165666667	0.3066	0.157	0.423666667	0.005	333.6	28.194	28.194	62.65905421	74.72433679	53.72376009	7.652710496	30.06312572	0.02795082	3.41	0	93	86	27.6	35.7	39.9	951	1008	57	35.46863494	4.395998514	0.65744383	103	54921	28961	0.527321061	12.94727023	4.443732993	0.924361331	28	52792	0.961235229	0.108666667	0.0	0.0	0.014162314182402571	0.004519887505022097	0.0	0.007432703897147449	0.0	0.001747689835275211	0.06765769385295299	0.0	0.0	0.8963640016070706	0.0	0.008115709120128566	0.0	0.0	0.0	0.014162314182402571	0.004519887505022097	0.0	0.007432703897147449	0.0	0.001747689835275211	0.06765769385295299	0.0	0.0	0.0	0.0	0.0	0.03553635998392928	0.0	0.8608276416231415	0.0	0.008115709120128566	0.0
033114U_10	BBB	BBB	6	033114U.10	333	48	10	10_	10_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	3/31/2014	2014	Spring	2	FALSE	FALSE	Spring 2014	March	2	second	2	3	Low	8/24/2016	5/31/2016	August	high	2	0.1	FALSE	033114U10.fastq	033114U	5.58	8.3185	9.8	0.199	0.1875	0.046	0.337	0.8825	0.14	0.55	1.6965	0.005	1057.6	8.3185	8.3185	38.26789298	63.86956522	25.52017837	10.51304348	30.01171683	0.029883721	7.71	88	132	68	36.8	52.9	10	792	877	85	17.31289179	2.448219128	0.440756138	47	46623	33005	0.707912404	9.717086191	4.331557918	0.944731373	24	44718	0.959140338	0.071333333	0.0	0.0	0.0999360232963445	0.005868207990469677	0.0	0.0031326523858898276	0.0	0.0	0.013346864038474265	0.0	0.0	0.8777162522888219	0.0	0.0	0.0	0.0	0.0	0.0999360232963445	0.005868207990469677	0.0	0.0031326523858898276	0.0	0.0	0.013346864038474265	0.0	0.0	0.0	0.0	0.0	0.03033378190562333	0.0	0.8473824703831985	0.0	0.0	0.0
033114U_11	BBB	BBB	6	033114U.11	333	48	10	10_	10_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	3/31/2014	2014	Spring	2	FALSE	FALSE	Spring 2014	March	2	second	2	3	Low	8/24/2016	5/31/2016	August	na	0	0.055	FALSE	033114U11.fastq	033114U	5.58	8.3185	9.8	0.199	0.1875	0.046	0.337	0.8825	0.14	0.55	1.6965	0.005	1057.6	8.3185	8.3185	38.26789298	63.86956522	25.52017837	10.51304348	30.01171683	0.029883721	7.71	88	132	68	36.8	52.9	10	792	877	85	25.06435123	4.963166312	0.801826654	73	49413	37164	0.752109769	17.15235808	4.703555528	0.949408387	31	42072	0.851435857	0.071333333	0.0	0.0	0.04248411808669656	0.06586322869955157	0.0	0.0	0.0	0.0	0.11453662182361735	0.0	0.0	0.7646674140508223	0.0	0.012448617339312407	0.0	0.0	0.0	0.04248411808669656	0.06586322869955157	0.0	0.0	0.0	0.0	0.1087677503736921	0.005768871449925261	0.0	0.0	0.0	0.0	0.3732950298953662	0.0	0.39137238415545583	0.0	0.012448617339312407	0.0
033114U_12	BBB	BBB	6	033114U.12	333	48	10	10_	10_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	3/31/2014	2014	Spring	2	FALSE	FALSE	Spring 2014	March	2	second	2	3	Low	8/24/2016	5/31/2016	August	na	0	0.059	FALSE	033114U12.fastq	033114U	5.58	8.3185	9.8	0.199	0.1875	0.046	0.337	0.8825	0.14	0.55	1.6965	0.005	1057.6	8.3185	8.3185	38.26789298	63.86956522	25.52017837	10.51304348	30.01171683	0.029883721	7.71	88	132	68	36.8	52.9	10	792	877	85	33.28034532	4.477523443	0.654083697	115	45911	42594	0.927751519	39.55656191	5.464342763	0.815520024	104	43637	0.950469386	0.071333333	0.0	0.0	0.018545355735700375	0.00978216566278701	0.0	0.007676282777048141	0.0	0.00013586341198315293	0.2030025814048277	0.008989629092885285	0.0	0.7016439472849963	0.0	0.0502241746297722	0.0	0.0	0.0	0.018545355735700375	0.00978216566278701	0.0	0.007676282777048141	0.0	0.00013586341198315293	0.17539966487025047	0.02760291653457724	0.0	0.0	0.008989629092885285	0.0	0.06811285720755401	0.0030116389656265567	0.6305194511118158	0.0	0.0502241746297722	0.0
042014U_4	BBB	BBB	7	042014U.4	353	51	11	11_	11_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	4/20/2014	2014	Spring	2	FALSE	FALSE	Spring 2014	April	2	second	2	3	Low	5/5/2016	A	May	na	0	0.061	FALSE	042014U4.fastq	042014U	5.436666667	20.8915	14.125	0.343333333	0.133	0.0575	0.418333333	0.51925	0.38	0.693666667	0.937	0.005	1947.566667	20.8915	20.8915	48.60321839	66.5045977	36.19206897	10.98344828	30.00005747	0.033884298	8.2	27	168	82	33.4	49.5	21.9	#VALUE!	746	#VALUE!	31.8296657	4.65458956	0.682473229	113	56272	44922	0.798301109	35.33950691	6.309663762	0.941679058	104	51054	0.907271823	0.079666667	0.0	0.0	0.004981295912236156	0.016610780532242745	0.0	0.003043048475568391	0.0	0.0014149206287674685	0.07989455933944527	0.0	0.0	0.8906053146744713	0.0	0.003450080437268622	0.0	0.0	0.0	0.004981295912236156	0.016610780532242745	0.0	0.003043048475568391	0.0	0.0014149206287674685	0.07989455933944527	0.0	0.0	0.0	0.0	0.0	0.5296067295951	0.0016668927955342779	0.3593316922838369	0.0	0.003450080437268622	0.0
042014U_5	BBB	BBB	7	042014U.5	353	51	11	11_	11_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	4/20/2014	2014	Spring	2	FALSE	FALSE	Spring 2014	April	2	second	2	3	Medium	6/21/2016	A	June	high	2	0.094	FALSE	042014U5.fastq	042014U	5.436666667	20.8915	14.125	0.343333333	0.133	0.0575	0.418333333	0.51925	0.38	0.693666667	0.937	0.005	1947.566667	20.8915	20.8915	48.60321839	66.5045977	36.19206897	10.98344828	30.00005747	0.033884298	8.2	27	168	82	33.4	49.5	21.9	#VALUE!	793	#VALUE!	19.4921126	3.073624043	0.524689999	58	46584	30495	0.654623905	17.83322923	4.526404936	0.897313895	33	41386	0.888416624	0.079666667	0.0	0.0	0.0678502879078695	0.0	0.0	0.0031429942418426103	0.0	0.0	0.020129558541266794	0.0	0.0	0.908877159309021	0.0	0.0	0.0	0.0	0.0	0.0678502879078695	0.0	0.0	0.0031429942418426103	0.0	0.0	0.020129558541266794	0.0	0.0	0.0	0.0	0.0	0.0218809980806142	0.0	0.8869961612284069	0.0	0.0	0.0
042014U_6	BBB	BBB	7	042014U.6	353	51	11	11_	11_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	4/20/2014	2014	Spring	2	FALSE	FALSE	Spring 2014	April	2	second	2	3	Medium	5/5/2016	A	May	high	2	0.084	FALSE	042014U6.fastq	042014U	5.436666667	20.8915	14.125	0.343333333	0.133	0.0575	0.418333333	0.51925	0.38	0.693666667	0.937	0.005	1947.566667	20.8915	20.8915	48.60321839	66.5045977	36.19206897	10.98344828	30.00005747	0.033884298	8.2	27	168	82	33.4	49.5	21.9	#VALUE!	746	#VALUE!	20.83249802	2.126024449	0.349246394	68	63510	52459	0.825995906	18.50718036	4.71219863	0.863129893	44	59450	0.936073059	0.079666667	0.0	0.0	0.05296232819168599	0.012064388211177203	0.0	0.0	0.0	0.0	0.004839197499747958	0.0	0.0	0.9301340860973887	0.0	0.0	0.0	0.0	0.0	0.05296232819168599	0.012064388211177203	0.0	0.0	0.0	0.0	0.004839197499747958	0.0	0.0	0.0	0.0	0.0	0.014954464495748901	0.0	0.9151796216016398	0.0	0.0	0.0
