# Constructed from biom file
#OTU ID	021715M_2	021715M_5	021715M_6	022214M_7	022214M_8	022214M_9	033114M_0	033114M_4	033114M_5	042014M_3	042014M_6	042014M_7	050213M_3	050213M_4	050213M_7	052014M_2	052014M_3	052014M_4	061914M_1	061914M_2	061914M_3	071513M_1	071513M_7	071513M_9	071514M_17	071514M_18	071514M_5	081714M_2	081714M_7	081714M_8	090413M_1	090413M_2	090413M_3	091714M_11	091714M_12	091714M_4	101914M_14	101914M_16	101914M_3	102313M_13	102313M_2	102313M_3	111914M_10	111914M_11	111914M_2	taxonomy
4844cf2b4a1f54d910af6255ab55f086	6.6997	6.6997	6.6997	6.9536	6.6997	6.6997	6.6997	6.7025	6.6997	6.6997	6.7136	6.6997	6.6997	6.707	6.6997	6.6997	6.6997	6.717	6.6997	6.6997	6.6997	6.6997	6.6997	6.6997	7.1425	6.6997	6.7073	6.7059	6.6997	6.7018	6.7002	6.7025	6.7015	6.7036	6.7038	6.6997	6.6997	6.7165	6.7295	6.6997	6.7127	6.7054	6.6997	6.6997	6.6997	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
0758cc4a887c64284eef7f56964beaf7	6.7826	6.5466	6.5466	6.5466	6.5466	6.5466	6.5466	6.5466	6.5466	6.5466	6.5663	6.5466	6.6965	6.5992	6.5582	6.5466	6.5503	6.5466	6.5466	6.6299	6.5466	6.6516	6.5466	6.5466	7.0169	6.5466	6.5466	6.5466	6.5466	6.6069	6.6054	6.5659	6.5466	6.5466	6.5466	6.5549	6.5466	6.5466	6.5466	6.5704	6.5655	6.559	6.5561	6.5466	6.5466	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter
08f9353db281a053af3acb42eabc7b64	5.6135	5.4656	5.4656	5.4656	5.4656	5.4656	5.4656	5.4656	5.6706	5.4656	5.4656	5.4656	5.4656	5.4656	5.4656	5.4656	5.4714	5.4656	5.4656	5.4656	5.4656	5.4656	5.4656	5.4656	5.4656	5.4656	5.4656	5.4656	5.4656	5.4656	5.473	5.4656	5.4656	5.4656	5.4656	5.4656	5.4656	5.4656	5.4656	5.4656	5.4656	5.4656	5.4656	5.4656	5.4656	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Massilia
9676b750a5fd543ea0b932e0aa8e41c3	5.3233	5.3001	5.3001	5.6375	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.7628	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.3001	5.308	5.3001	5.3001	5.3001	5.3001	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
71dd687823e61db318a5694c9bece95a	5.8312	5.8312	5.8312	5.8312	5.8756	5.8312	5.8312	5.8312	5.8312	5.9427	5.8312	5.8312	5.8312	5.8312	5.8676	5.8312	5.8312	5.9361	6.2577	5.8452	5.8683	5.8312	5.8473	5.8312	5.8749	5.8312	6.5376	5.8312	5.8312	5.8312	5.8312	5.8312	5.8312	5.9828	5.8312	5.8312	5.8312	5.8874	5.8312	5.9323	5.8312	5.8312	5.8312	5.8376	5.8312	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Corynebacteriales; f__Dietziaceae; g__Dietzia
33e3c08c6a2d8b3b9d7f905087abc7bd	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	5.0218	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Cytophagales; f__Spirosomaceae; g__Rhabdobacter; s__uncultured bacterium
049d5e9ac21fe12bfeed9ab05065d70f	5.3111	5.3111	5.3111	5.3326	5.3546	5.3111	5.3111	5.3111	5.3965	5.3111	5.3111	5.4936	5.3209	5.3111	5.4142	5.3306	5.3244	5.3794	5.3111	5.3111	5.3111	5.3111	5.3111	5.323	5.3111	5.3111	5.3111	5.3111	5.3111	5.3111	5.3111	5.3111	5.3111	5.3111	5.3111	5.3111	5.3111	5.3111	5.3111	5.3111	5.3111	5.3111	5.3111	5.3111	5.3559	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter
8253dc5adc3bc248ec766a6da9f86ffd	5.0842	5.0842	5.0842	5.0842	5.0842	5.0842	5.0842	5.0842	5.3102	5.0842	5.0842	5.3935	5.0842	5.0842	5.0842	5.0842	5.0842	5.0842	5.1851	5.0842	5.0842	5.0842	5.0842	5.0842	5.1387	5.0842	5.0842	5.0842	5.0842	5.0842	5.0842	5.0842	5.0842	5.0842	5.0842	5.0842	5.0842	5.0842	5.0842	5.0842	5.0866	5.0842	5.0842	5.0842	5.0842	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Massilia
68d1a5ed8a3f89cb528c8f00088e2c80	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	4.9628	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
c66314c88698926dde2cd91c8a9572d3	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	5.0776	4.8046	4.8046	5.0137	4.8242	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	4.8046	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Chryseobacterium
0e63563f78c2afb605ffbd831aacbbe1	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	4.7432	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Acetobacterales; f__Acetobacteraceae; g__Rubritepida; s__uncultured bacterium
8c36bc7c8abdbaeec0e8c9f8dee81a20	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	4.8045	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Hydrogenophaga
c54416b54711694a1bbe5e414a703ead	5.589	5.589	6.1801	5.5933	5.6811	5.6333	5.6325	5.589	5.8727	5.589	5.589	5.589	5.6085	5.5933	5.6603	5.589	5.5984	5.6445	5.589	5.6333	5.6688	5.589	5.589	5.6267	5.606	5.589	5.589	5.589	5.589	5.589	5.5958	5.589	5.589	5.589	5.589	5.694	5.8909	5.589	5.589	5.6077	5.589	5.589	5.589	5.589	5.589	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Achromobacter
cebef9238f6b9503421c474d583469ae	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.3023	5.2716	5.2716	5.5799	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.3474	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	5.2716	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
d81b35ad81543eb93e2709be71730b49	5.5105	5.5105	5.5105	5.5105	5.5105	5.5105	5.5105	5.5356	5.5105	5.5105	5.5105	5.5105	5.5105	5.5294	5.5513	5.5105	5.5105	5.5105	5.5105	5.8591	5.6741	5.5105	5.9166	5.5105	5.5105	5.5717	5.5105	5.5105	5.5556	5.5105	5.5105	5.5751	5.6528	5.5105	5.5105	5.5105	5.5105	5.5105	5.5105	5.6512	5.5105	5.6283	5.5105	5.5105	5.5105	k__Bacteria; p__Cyanobacteria; c__Oxyphotobacteria; o__Chloroplast
9d607552a3db550bc831be4cc9a84218	4.6936	4.6936	4.6936	4.7255	4.6936	4.6936	4.6936	4.6936	4.9076	4.6936	4.6936	4.6936	4.6936	4.6936	4.6936	4.7114	4.7185	4.6936	4.722	4.6936	4.6936	4.6936	4.6936	4.7018	4.6936	4.6936	4.6936	4.6936	4.6936	4.6936	4.6936	4.6936	4.6936	4.6936	4.7026	4.6936	4.6936	4.6936	4.6936	4.7026	4.7004	4.6936	4.6936	4.6936	4.6936	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium
e2bfba3abe4982817421f31ab0283488	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	4.4774	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Cnuella
9e69715826a51396699796625e51d9ac	5.0865	5.0865	5.0865	5.0865	5.0865	5.0865	5.2608	5.0865	5.0865	5.0865	5.0865	5.9346	5.1245	5.0865	5.1875	5.0865	5.1776	5.0865	5.1952	5.0865	5.148	5.1399	5.0865	5.1233	5.0865	5.0865	5.094	5.0865	5.0865	5.0865	5.0865	5.0865	5.0865	5.0865	5.0865	5.3222	5.0865	5.0978	5.2049	5.1149	5.0865	5.0865	5.0865	5.0865	5.0865	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas
9a5f83a68b1cf72b04488b948e127f24	4.4399	4.4399	4.4399	4.6772	4.5065	4.4399	4.4399	4.4399	4.4399	4.4399	4.4563	4.8147	4.4399	4.4399	4.504	4.4399	4.4399	4.4399	4.4399	4.4399	4.4399	4.4399	4.4399	4.4399	4.4399	4.4399	4.4399	4.4399	4.4399	4.4399	4.4399	4.4399	4.4399	4.4399	4.4399	4.4399	4.4399	4.4399	4.4399	4.5302	4.4399	4.4399	4.4399	4.4399	4.4399	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter
662ba53b5e010ce6629ce45fb01f9af8	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	3.8741	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Salinicoccus; s__Salinicoccus roseus
3b4c88402730317d4324eb2d2e48556e	4.4587	4.4587	4.4587	4.7415	4.5512	4.4587	4.5445	4.4587	4.7508	4.4587	4.4587	4.4587	4.4587	4.4587	4.5578	4.4587	4.4587	4.6083	4.4587	4.4587	4.4587	4.4587	4.4587	4.4802	4.4587	4.4587	4.4587	4.4587	4.4587	4.4587	4.4587	4.4587	4.4587	4.4587	4.4587	4.4587	4.8076	4.4587	4.4587	4.4922	4.4587	4.4587	4.4587	4.4587	4.4587	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter
3a5ab302f6b01307cbb21f7365a3b542	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	3.9947	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alishewanella
342c8f5a61b7b597a26dbde1d87808e0	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	3.9839	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alishewanella
