#SampleID	BarcodeSequence	LinkerPrimerSequence	Order	Name	Days	Weeks	Months	Months_cat	Months_mitigation	Mitigation_status_num	Mitigation_status	Mitigation_status_begin_end	ASR	Concrete	Type	Type2	Input	Input_num	Collected	Year	Season	Season_num	Summer	Winter	S_Yr	Month	Halves	half_char	Thirds	Fourths	Concentration	Extracted	Ground	Extracted2	Rhodoluna	Rhodoluna_num	num_conc	neg_control	old_sample_ids	Description	ph	ppt	Conduc	Ca	Mg	K	Na	NH4	NO3	Cl	SO4	Br	svol	ppt.1	subppt	temp_avg	hum_avg	dew_pt_avg	wind_spd_avg	pressure_avg	precip_avg	precip_sum	snow_sum	rain_sum	temp_max	wind_spd_max	wind_gust	temp_min	time_to_grind	time_to_extract	grind_to_extract	faith_pd_raw	shannon_raw	evenness_raw	observed_otus_raw	total_reads_in_sample	reads_in_negs_per_sample	percent_reads_in_neg_controls	faith_pd_decontam	shannon_decontam	evenness_decontam	observed_otus_decontam	contam_counts_per_sample	percent_contam_reads	avg_conc	k__Bacteria;f__NA	k__Bacteria;p__Acidobacteria	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Armatimonadetes	k__Bacteria;p__BRC1	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Calditrichaeota	k__Bacteria;p__Chlamydiae	k__Bacteria;p__Chloroflexi	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Deinococcus-Thermus	k__Bacteria;p__Dependentiae	k__Bacteria;p__Elusimicrobia	k__Bacteria;p__Entotheonellaeota	k__Bacteria;p__Epsilonbacteraeota	k__Bacteria;p__FBP	k__Bacteria;p__Fibrobacteres	k__Bacteria;p__Firmicutes	k__Bacteria;p__Fusobacteria	k__Bacteria;p__Gemmatimonadetes	k__Bacteria;p__Halanaerobiaeota	k__Bacteria;p__Hydrogenedentes	k__Bacteria;p__Kiritimatiellaeota	k__Bacteria;p__Latescibacteria	k__Bacteria;p__Nitrospirae	k__Bacteria;p__Omnitrophicaeota	k__Bacteria;p__Patescibacteria	k__Bacteria;p__Planctomycetes	k__Bacteria;p__Proteobacteria	k__Bacteria;p__Rokubacteria	k__Bacteria;p__Spirochaetes	k__Bacteria;p__Synergistetes	k__Bacteria;p__Tenericutes	k__Bacteria;p__Thermotogae	k__Bacteria;p__Verrucomicrobia	k__Unassigned;f__NA
101914U_1	BBB	BBB	13	101914U.1	535	77	17	17_	17_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Low	1	10/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	October	2	second	3	4	Low	7/25/2016	5/19/2016	July	na	0	0.073	FALSE	101914U1.fastq	101914U	5.096666667	24.384	13.03333333	0.124	0.0432	0.044666667	0.709333333	0.4732	0.735666667	1.262	0.7388	0.006666667	1181.533333	24.384	24.384	63.08159091	77.14772727	55.09215909	7.703185438	30.04457955	0.03525641	5.5	0	119	82.9	24.2	34.5	39.9	578	645	67	14.97454083	3.184445213	0.611282027	37	10205	8857	0.867907888	7.415992386	3.696942329	0.924235582	16	8870	0.869181774	0.063666667	0.0023388672842138357	0.01603463370865021	0.13516210382292293	0.003342609779749309	0.0004338039495555895	0.07414270867103988	6.198665378083181e-05	0.0015764519680916509	0.008303235426234698	0.038748842496736276	0.006775325986683335	0.0010734774810389086	0.00011273566089113202	9.662323598452508e-05	0.002143978781681055	0.0009339561965769202	0.00016666610221866034	0.18302862890550187	0.001730751527627215	0.009425101495448542	0.00032096566175422427	0.00018282984058038386	0.00010621885209132602	0.000513288491531176	0.0008023884976580024	4.566897505375853e-05	0.007233093319778366	0.010873577706479433	0.48374743804747833	0.0003958319927693184	0.0004926091691191932	0.00026231438255597034	0.00034708421040856487	0.0008826940549154544	0.007672028614845616	0.0004894790483570816
101914U_2	BBB	BBB	13	101914U.2	535	77	17	17_	17_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	10/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	October	2	second	3	4	Low	7/25/2016	5/19/2016	July	na	0	0.068	FALSE	101914U2.fastq	101914U	5.096666667	24.384	13.03333333	0.124	0.0432	0.044666667	0.709333333	0.4732	0.735666667	1.262	0.7388	0.006666667	1181.533333	24.384	24.384	63.08159091	77.14772727	55.09215909	7.703185438	30.04457955	0.03525641	5.5	0	119	82.9	24.2	34.5	39.9	578	645	67	28.20846809	3.828820286	0.600595546	83	54549	52732	0.966690498	35.1086441	5.893235711	0.921924761	84	53043	0.972391795	0.063666667	0.0022725482355592467	0.015848306657399624	0.1332920339157141	0.0032478294122984842	0.0004215033519837182	0.07309433518241708	6.022900984106122e-05	0.0015317513578949362	0.0080677955284946	0.03803791037245259	0.0065832102660546695	0.001043038812810431	0.00010953901872583734	9.388346484330984e-05	0.0029897620654960565	0.0009074736822161881	0.0001619402516256348	0.1844667488998732	0.0016816757226234718	0.009157850861404469	0.00031186461635417047	0.00017764566396001748	0.00010320699534022908	0.0004987340939073969	0.0007796366116594987	4.437402215111299e-05	0.0070279975150547595	0.011530265576029637	0.48621378905287793	0.0003846080976108827	0.00047864113780975804	0.0002548764058836962	0.00033724256834845865	0.0008576650888128605	0.007454486712224	0.00047559977224659187
101914U_8	BBB	BBB	13	101914U.8	535	77	17	17_	17_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Low	1	10/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	October	2	second	3	4	Low	5/26/2016	5/19/2016	May	na	0	0.05	FALSE	101914U8.fastq	101914U	5.096666667	24.384	13.03333333	0.124	0.0432	0.044666667	0.709333333	0.4732	0.735666667	1.262	0.7388	0.006666667	1181.533333	24.384	24.384	63.08159091	77.14772727	55.09215909	7.703185438	30.04457955	0.03525641	5.5	0	119	82.9	24.2	34.5	39.9	578	585	7	18.35047865	4.194628412	0.799292369	38	22073	10991	0.497938658	12.43961193	3.706032899	0.808301681	24	11581	0.524668147	0.063666667	0.0023375709970519846	0.015834710036831366	0.13438858748400478	0.003340757181197087	0.00043356351928647367	0.07437963209463377	6.195229847386565e-05	0.0015755782398295534	0.00829863346461101	0.03967813934682273	0.006771570849248571	0.0010728825199282032	0.00011267317859857851	9.656968379659686e-05	0.0023897791426201916	0.0009334385633467124	0.00016657372967145335	0.18364230589121694	0.00172979228081541	0.009419877753960448	0.0003207877706573093	0.0001827285094887279	0.00010615998165637573	0.0005130040079752301	0.0008019437841356268	4.564366361071227e-05	0.007229084470676846	0.010867551165649426	0.4827323097083572	0.00039561260796970165	0.0004923361468121772	0.0002621689981774844	0.0003468918434414133	0.00088220483306907	0.007667776491492612	0.0004892077608793083
111914U_20	BBB	BBB	14	111914U.20	566	81	18	18_	18_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	11/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	November	2	second	3	4	Medium	9/1/2016	5/31/2016	September	na	0	0.089	FALSE	111914U20.fastq	111914U	5.381666667	29.21	9.475	0.1435	0.0738	0.0255	0.170666667	0.2752	0.990625	0.301	0.7512	0.005375	1340.766667	29.21	29.21	49.7323185	69.85245902	39.07400468	8.144548652	29.9731733	0.034971098	6.05	2	136	73	33.4	41.4	24.1	559	652	93	53.43863861	6.706041638	0.874044561	204	44942	9476	0.210849539	54.63467593	6.541283817	0.875002283	178	11017	0.245138178	0.063	0.0021544849121726225	0.01741945609425771	0.15764213981011976	0.0030805993430022484	0.0003997442696226142	0.07572223586605319	5.704550812505889e-05	0.0016725307809236794	0.012065787188278939	0.038578562165602674	0.0062414691895602325	0.000988930711750088	0.00010377930748455986	8.897396416520379e-05	0.0019756382569314553	0.0008600343521806143	0.00015339849324176285	0.1752889738127981	0.0015941050326058123	0.010130024025335405	0.0002954446465581408	0.00016834574081018623	9.781932902373283e-05	0.0004727303550595676	0.0007390846305589097	4.205095914027973e-05	0.00708050171287888	0.01165095376683885	0.4635244588055806	0.00036469392010298846	0.00045366788426819224	0.000241473730496207	0.0003193318618178048	0.0008125910315757766	0.007067919536128252	0.0004510190049522691
111914U_8	BBB	BBB	14	111914U.8	566	81	18	18_	18_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	11/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	November	2	second	3	4	Low	6/22/2016	5/31/2016	June	na	0	0.05	FALSE	111914U8.fastq	111914U	5.381666667	29.21	9.475	0.1435	0.0738	0.0255	0.170666667	0.2752	0.990625	0.301	0.7512	0.005375	1340.766667	29.21	29.21	49.7323185	69.85245902	39.07400468	8.144548652	29.9731733	0.034971098	6.05	2	136	73	33.4	41.4	24.1	559	581	22	17.84278383	2.35024952	0.408391914	54	56269	54729	0.972631467	13.87882442	4.425118367	0.910896599	29	54849	0.97476408	0.063	0.002318858275177457	0.015446404383344218	0.13715420941711856	0.003314013753912564	0.0004300927568747305	0.07449568775286165	6.145635797311029e-05	0.0015629654218956078	0.008232201249222573	0.03841734615878682	0.007685962080714888	0.0010642938814548572	0.00011177120734016832	9.57966242246413e-05	0.002125637043735509	0.000925966201546838	0.0001652402737555151	0.18153831674189744	0.0017159449487376133	0.009344469754492536	0.0003182198005975206	0.0001812657313395629	0.0001053101498380284	0.000508897308613429	0.0007955240642595412	4.527827698350013e-05	0.007171214208221571	0.010780554251897313	0.48343524761240053	0.0003924456501693484	0.000488394897799552	0.00026007028307826146	0.000344114905074601	0.0008751426074945719	0.007606394411948375	0.000485291555219784
111914U_9	BBB	BBB	14	111914U.9	566	81	18	18_	18_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	11/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	November	2	second	3	4	Low	6/22/2016	5/31/2016	June	na	0	0.05	FALSE	111914U9.fastq	111914U	5.381666667	29.21	9.475	0.1435	0.0738	0.0255	0.170666667	0.2752	0.990625	0.301	0.7512	0.005375	1340.766667	29.21	29.21	49.7323185	69.85245902	39.07400468	8.144548652	29.9731733	0.034971098	6.05	2	136	73	33.4	41.4	24.1	559	581	22	22.34874325	4.304624178	0.666409126	88	35381	12807	0.361973941	21.46495457	5.068399437	0.773259704	94	22390	0.632825528	0.063	0.0024710341150450555	0.015309671175221891	0.13419285956105517	0.0032846777530486666	0.0004262855302232608	0.0738074014342029	6.091233978113309e-05	0.0015491298863873927	0.008159328931576377	0.03811362753253892	0.007549045778951335	0.0010548726392560464	0.00011078179677081902	9.494862235751126e-05	0.0021068206794166416	0.0009177694506261616	0.00016377754934529821	0.18107050210021872	0.0017007552222498658	0.009261751518194687	0.000315402885207771	0.00017966114788094134	0.00010437793323422638	0.0005043924957207568	0.0007884820009582599	4.487746887848381e-05	0.007107733860272129	0.010685123643477647	0.48850466155883704	0.0003889716796950833	0.0004840715744196006	0.00025776811337843735	0.00034106876347647695	0.0008673957524131218	0.007539061802728932	0.0004809957029571428
102313U_11	BBB	BBB	4	102313U.11	174	25	5	5_	5_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	10/23/2013	2013	Fall	4	FALSE	FALSE	Fall 2013	October	1	first	1	2	Medium	6/2/2016	5/31/2016	June	na	0	0.09	FALSE	102313U11.fastq	102313U	4.955	28.194	5.32	0.1035	0.023333333	0.0432	0.0915	0.165666667	0.3066	0.157	0.423666667	0.005	333.6	28.194	28.194	62.65905421	74.72433679	53.72376009	7.652710496	30.06312572	0.02795082	3.41	0	93	86	27.6	35.7	39.9	951	953	2	40.38320111	3.9297021	0.577272986	112	48665	45166	0.928100277	77.9694645	7.068207411	0.917072539	209	45590	0.936812905	0.108666667	0.002163870379210887	0.016648784408545263	0.13727614012218395	0.003093380531350024	0.00040140097107500426	0.08108765035676789	5.7322642225216534e-05	0.0014585216780270297	0.0076819939275042885	0.04363915287488009	0.01154811407082324	0.0009933391754619958	0.00010429206489360024	8.937962938513464e-05	0.002367705325715136	0.0020624278242870574	0.00015415848936458398	0.17943539999426283	0.00199555932366311	0.009397826355801593	0.0002968714470172565	0.0001691184167058791	9.826060212425269e-05	0.0009428553571642285	0.0007423448389580445	4.226773121826239e-05	0.007251765413901771	0.012914739052325175	0.464229626431149	0.00036620952294833854	0.00045568413599913224	0.0006312614419698246	0.000562540759865526	0.000816479590004907	0.008370672995364991	0.00045288211786219124
102313U_12	BBB	BBB	4	102313U.12	174	25	5	5_	5_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	10/23/2013	2013	Fall	4	FALSE	FALSE	Fall 2013	October	1	first	1	2	Medium	6/2/2016	5/31/2016	June	na	0	0.078	FALSE	102313U12.fastq	102313U	4.955	28.194	5.32	0.1035	0.023333333	0.0432	0.0915	0.165666667	0.3066	0.157	0.423666667	0.005	333.6	28.194	28.194	62.65905421	74.72433679	53.72376009	7.652710496	30.06312572	0.02795082	3.41	0	93	86	27.6	35.7	39.9	951	953	2	27.759855430000002	2.917513426	0.458905161	82	54453	52598	0.965933925	42.39490695	6.158107136	0.924889086	101	52951	0.972416579	0.108666667	0.0022650521096706177	0.016257738004216815	0.1344941739894891	0.003238025792054863	0.00042017032308970146	0.07492851834979086	6.000302649896707e-05	0.0024305948422651165	0.00860608445602459	0.038618832737810284	0.007730746187098487	0.0010397873258097725	0.00010916872095421017	9.355898580866282e-05	0.0024123503429071057	0.0014692538924415675	0.0001613668798804036	0.184137059042382	0.001676058026853915	0.009129010583400432	0.000310753039473938	0.0001770263275582616	0.00010285522935075631	0.0004970756105742931	0.0007770565925479323	4.424415375648773e-05	0.007004197527378192	0.01109449497336701	0.4805052304543741	0.00038333333664750216	0.00047699174752078633	0.00025398132757516385	0.0003359572933554428	0.0008546578554848732	0.007430532204474409	0.0004740587081144573
102313U_3	BBB	BBB	4	102313U.3	174	25	5	5_	5_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Low	1	10/23/2013	2013	Fall	4	FALSE	FALSE	Fall 2013	October	1	first	1	2	Medium	7/27/2016	5/31/2016	July	na	0	0.158	FALSE	102313U3.fastq	102313U	4.955	28.194	5.32	0.1035	0.023333333	0.0432	0.0915	0.165666667	0.3066	0.157	0.423666667	0.005	333.6	28.194	28.194	62.65905421	74.72433679	53.72376009	7.652710496	30.06312572	0.02795082	3.41	0	93	86	27.6	35.7	39.9	951	1008	57	35.46863494	4.395998514	0.65744383	103	54921	28961	0.527321061	12.94727023	4.443732993	0.924361331	28	52792	0.961235229	0.108666667	0.0022984610405228914	0.016552874440858983	0.13337642075492667	0.003285785832242358	0.00042636772632397967	0.0746052718664296	6.0888055569456165e-05	0.0015492403269209345	0.00815980657877532	0.03875814800226638	0.006658792416829035	0.0010551239190478418	0.0001107789312597562	9.493895657143042e-05	0.002107271537119215	0.0009177096163376525	0.00016374699948504948	0.18417748964045305	0.002119479415700663	0.009626870731278159	0.00031533656616791256	0.00017963741995263746	0.00010437231729345882	0.0005044073468425785	0.0007885179756471992	4.489674354334382e-05	0.007107507623366166	0.01114246372343121	0.48238166025534557	0.0003889874038907013	0.0004840272520206561	0.0002577274862504984	0.0003409125762538399	0.0008672638370754687	0.008505763732955382	0.0004810509510441872
033114U_10	BBB	BBB	6	033114U.10	333	48	10	10_	10_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Normal	2	3/31/2014	2014	Spring	2	FALSE	FALSE	Spring 2014	March	2	second	2	3	Low	8/24/2016	5/31/2016	August	high	2	0.1	FALSE	033114U10.fastq	033114U	5.58	8.3185	9.8	0.199	0.1875	0.046	0.337	0.8825	0.14	0.55	1.6965	0.005	1057.6	8.3185	8.3185	38.26789298	63.86956522	25.52017837	10.51304348	30.01171683	0.029883721	7.71	88	132	68	36.8	52.9	10	792	877	85	17.31289179	2.448219128	0.440756138	47	46623	33005	0.707912404	9.717086191	4.331557918	0.944731373	24	44718	0.959140338	0.071333333	0.002340831784120049	0.015592774564084281	0.135329915280686	0.003345417359573589	0.0004341683173091466	0.07420498383526788	6.203871863135191e-05	0.0015777760875764846	0.008310209616401972	0.038781389062317	0.006781016830005337	0.0010743791339138096	0.00011283035168301337	9.670439336327454e-05	0.0021457795876284316	0.0009347406604381094	0.00016680609115449587	0.18289445647585786	0.001732205248937805	0.00943301798183015	0.0003212352525158164	0.0001829834060293931	0.00010630806917789608	0.0005137196212495142	0.0008030624530119618	4.570733409097947e-05	0.007239168658573462	0.010882710820841577	0.48400276688576765	0.0003961644664919277	0.0004930229295206774	0.00026253470996976075	0.000347375739091444	0.0008834354618348637	0.007678472631398445	0.0004898901796560148
