#SampleID	BarcodeSequence	LinkerPrimerSequence	Order	Name	Days	Weeks	Months	Months_cat	Months_mitigation	Mitigation_status_num	Mitigation_status	Mitigation_status_begin_end	ASR	Concrete	Type	Type2	Input	Input_num	Collected	Year	Season	Season_num	Summer	Winter	S_Yr	Month	Halves	half_char	Thirds	Fourths	Concentration	Extracted	Ground	Extracted2	Rhodoluna	Rhodoluna_num	num_conc	neg_control	old_sample_ids	Description	ph	ppt	Conduc	Ca	Mg	K	Na	NH4	NO3	Cl	SO4	Br	svol	ppt.1	subppt	temp_avg	hum_avg	dew_pt_avg	wind_spd_avg	pressure_avg	precip_avg	precip_sum	snow_sum	rain_sum	temp_max	wind_spd_max	wind_gust	temp_min	time_to_grind	time_to_extract	grind_to_extract	faith_pd_raw	shannon_raw	evenness_raw	observed_otus_raw	total_reads_in_sample	reads_in_negs_per_sample	percent_reads_in_neg_controls	faith_pd_decontam	shannon_decontam	evenness_decontam	observed_otus_decontam	contam_counts_per_sample	percent_contam_reads	avg_conc	k__Bacteria;f__NA	k__Bacteria;p__Acidobacteria	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Armatimonadetes	k__Bacteria;p__BRC1	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Calditrichaeota	k__Bacteria;p__Chlamydiae	k__Bacteria;p__Chloroflexi	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Deinococcus-Thermus	k__Bacteria;p__Dependentiae	k__Bacteria;p__Elusimicrobia	k__Bacteria;p__Entotheonellaeota	k__Bacteria;p__Epsilonbacteraeota	k__Bacteria;p__FBP	k__Bacteria;p__Fibrobacteres	k__Bacteria;p__Firmicutes	k__Bacteria;p__Fusobacteria	k__Bacteria;p__Gemmatimonadetes	k__Bacteria;p__Halanaerobiaeota	k__Bacteria;p__Hydrogenedentes	k__Bacteria;p__Kiritimatiellaeota	k__Bacteria;p__Latescibacteria	k__Bacteria;p__Nitrospirae	k__Bacteria;p__Omnitrophicaeota	k__Bacteria;p__Patescibacteria	k__Bacteria;p__Planctomycetes	k__Bacteria;p__Proteobacteria	k__Bacteria;p__Rokubacteria	k__Bacteria;p__Spirochaetes	k__Bacteria;p__Synergistetes	k__Bacteria;p__Tenericutes	k__Bacteria;p__Thermotogae	k__Bacteria;p__Verrucomicrobia	k__Unassigned;f__NA
101914M_14	BBB	BBB	13	101914M.14	535	77	17	17_	17_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Low	1	10/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	October	2	second	3	4	High	5/3/2016	A	May	na	0	0.215	FALSE	101914M14.fastq	101914M	5.096666667	24.384	13.03333333	0.124	0.0432	0.044666667	0.709333333	0.4732	0.735666667	1.262	0.7388	0.006666667	1181.533333	24.384	24.384	63.08159091	77.14772727	55.09215909	7.703185438	30.04457955	0.03525641	5.5	0	119	82.9	24.2	34.5	39.9	#VALUE!	562	#VALUE!	19.93534586	4.87001989	0.763919964	83	31518	18490	0.586648899	14.1599482	5.327312083	0.898254598	61	18510	0.587283457	0.194	0.0023049357738749903	0.015354687592243847	0.13223212614959118	0.003295041846044981	0.00042756879838446577	0.07402732524807372	6.105957639020945e-05	0.0015536045157578476	0.008182792642437403	0.03819537030811914	0.006677550144102117	0.0010580961887138533	0.00011109099399577457	9.520639831514016e-05	0.002113207692252046	0.0009202947917901326	0.00016420827254566683	0.18164753508763032	0.0017055705202948727	0.00928975672741715	0.000316224864967025	0.00018014345611063446	0.00010466633268545429	0.0005058282554479736	0.000790739220012729	4.502321705657531e-05	0.007127529375246196	0.010715019780621601	0.4904085118364719	0.0003900831760935419	0.00048539075017734845	0.0002584535010584756	0.000341872922323973	0.0008697069074569019	0.007561371071287994	0.00048240606500168785
101914M_16	BBB	BBB	13	101914M.16	535	77	17	17_	17_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	10/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	October	2	second	3	4	High	5/3/2016	A	May	na	0	0.286	FALSE	101914M16.fastq	101914M	5.096666667	24.384	13.03333333	0.124	0.0432	0.044666667	0.709333333	0.4732	0.735666667	1.262	0.7388	0.006666667	1181.533333	24.384	24.384	63.08159091	77.14772727	55.09215909	7.703185438	30.04457955	0.03525641	5.5	0	119	82.9	24.2	34.5	39.9	#VALUE!	562	#VALUE!	30.62509172	3.902485232	0.59129345	97	59492	37595	0.631933705	28.49032013	4.735231395	0.734948459	87	39919	0.670997781	0.194	0.002224181351594242	0.016069140344120096	0.13449001698291832	0.003179598629065051	0.00041258874050599233	0.07502632376695675	5.8920327708321435e-05	0.0014991733092379947	0.007896104961169693	0.037724581882902355	0.0064435992851455855	0.001021025330859363	0.00010719887294736856	9.187080095034046e-05	0.002039170546279794	0.0008880518655093483	0.00015845516465717597	0.18481056406816934	0.002580241724671703	0.008964286080402081	0.0003051457899790533	0.00017383205217011817	0.00010099930242627758	0.00048810634362510854	0.0007630353292533325	4.344580916355101e-05	0.00687781329920152	0.010339614425765994	0.4851976222938495	0.00037641644321364257	0.00046838487519581124	0.0002493984708051485	0.00032989525654750316	0.0008392363495952459	0.007296455163680864	0.0004655047597568792
101914M_3	BBB	BBB	13	101914M.3	535	77	17	17_	17_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	10/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	October	2	second	3	4	Medium	7/25/2016	A	July	high	2	0.081	FALSE	101914M3.fastq	101914M	5.096666667	24.384	13.03333333	0.124	0.0432	0.044666667	0.709333333	0.4732	0.735666667	1.262	0.7388	0.006666667	1181.533333	24.384	24.384	63.08159091	77.14772727	55.09215909	7.703185438	30.04457955	0.03525641	5.5	0	119	82.9	24.2	34.5	39.9	#VALUE!	645	#VALUE!	23.19621971	3.194669999	0.530467434	65	53398	44601	0.835256002	19.42023159	5.121724118	0.927250234	46	51873	0.971440878	0.194	0.0022938727829628965	0.015279970746327965	0.1343421844211304	0.0032783055496925424	0.00042545854557192464	0.07521487065687771	6.079417116759937e-05	0.0015461246081216785	0.008143500011021461	0.03800340266183846	0.006644984083300897	0.0010528262092931943	0.00011056688249603958	9.476442409651457e-05	0.0021027334931495337	0.0009159889978654603	0.00016345982446387645	0.1866994532450054	0.001697455794132417	0.009243783921813862	0.00031479101047461426	0.00017931260916403686	0.00010417544231533997	0.0005034139852562057	0.0007869523630362179	4.479040756553264e-05	0.0070939450112695685	0.010664394736150778	0.48265448689669305	0.00038821708310170656	0.0004831324861001274	0.00025726804884831786	0.00034040709749804803	0.0008657130235306656	0.007524436186905033	0.0004800625817613662
111914M_10	BBB	BBB	14	111914M.10	566	81	18	18_	18_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	11/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	November	2	second	3	4	Low	6/22/2016	5/12/2016	June	na	0	0.053	FALSE	111914M10.fastq	111914M	5.381666667	29.21	9.475	0.1435	0.0738	0.0255	0.170666667	0.2752	0.990625	0.301	0.7512	0.005375	1340.766667	29.21	29.21	49.7323185	69.85245902	39.07400468	8.144548652	29.9731733	0.034971098	6.05	2	136	73	33.4	41.4	24.1	540	581	41	20.52475211	3.452340628	0.565167685	69	44623	40513	0.907895032	17.81981041	3.612571971	0.665756673	43	40633	0.910584228	0.131666667	0.0023081738167304924	0.016415278449672874	0.13345447785467338	0.0032987439797200753	0.0004281110453409299	0.07394678935199633	6.117318935082131e-05	0.001555763843738354	0.008194270249680292	0.038330877374949085	0.006686411900251446	0.0010593900010092566	0.00011125620612893579	9.5355228102315e-05	0.002115842878688755	0.0009216996849124989	0.00016447890646644668	0.18090132516421564	0.0017080384963690826	0.009301413824826823	0.00031675355909717494	0.0001804305245504771	0.000104824918837914	0.0005065524942684318	0.0007918585777142325	4.506965109456206e-05	0.0071381718524026715	0.010730881365385577	0.48872288965536465	0.0003906374028578109	0.00048614455113235485	0.00025887197347797893	0.00034252934831867165	0.0008711102675602883	0.007571346903484557	0.00048305550763036795
111914M_11	BBB	BBB	14	111914M.11	566	81	18	18_	18_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	11/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	November	2	second	3	4	Medium	6/22/2016	5/12/2016	June	na	0	0.095	FALSE	111914M11.fastq	111914M	5.381666667	29.21	9.475	0.1435	0.0738	0.0255	0.170666667	0.2752	0.990625	0.301	0.7512	0.005375	1340.766667	29.21	29.21	49.7323185	69.85245902	39.07400468	8.144548652	29.9731733	0.034971098	6.05	2	136	73	33.4	41.4	24.1	540	581	41	33.16639805	4.015115829	0.609740121	96	41044	39814	0.970032161	38.46120139	6.05335769	0.937134728	88	40044	0.975635903	0.131666667	0.0022739278901446392	0.015147113605746677	0.1336197544566969	0.003249801156031415	0.00042175924491625206	0.07701785781724582	6.026557462252573e-05	0.001532681277775857	0.00897857284434205	0.03935222289921215	0.006587206905636634	0.0018228839661692609	0.00010960551940868298	9.39404611044834e-05	0.0024075797729374744	0.0009080246057157208	0.0001620385648791089	0.1858347862176016	0.0016826966609628895	0.00916341055458746	0.00031205394806614107	0.00017775351190402248	0.00010326965187800351	0.0004990368733022556	0.0007801099258049958	4.440096143547011e-05	0.007523867637042201	0.01057166936290256	0.47785616792463753	0.0003848415915878837	0.00047893171885450905	0.0002550311402900261	0.0008290507608254407	0.0008581857737224232	0.008423610715119389	0.00047588850689095434
111914M_2	BBB	BBB	14	111914M.2	566	81	18	18_	18_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	11/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	November	2	second	3	4	High	7/27/2016	5/12/2016	July	na	0	0.247	FALSE	111914M2.fastq	111914M	5.381666667	29.21	9.475	0.1435	0.0738	0.0255	0.170666667	0.2752	0.990625	0.301	0.7512	0.005375	1340.766667	29.21	29.21	49.7323185	69.85245902	39.07400468	8.144548652	29.9731733	0.034971098	6.05	2	136	73	33.4	41.4	24.1	540	616	76	17.92933278	3.234032041	0.559389521	55	29020	25730	0.88662991	12.89233147	4.606547205	0.958229064	28	25730	0.88662991	0.131666667	0.0023448395780934967	0.015619471325616297	0.13384923576646893	0.0033511451284903154	0.0004349116672488466	0.07441156513154575	6.21449366023902e-05	0.0015804774356776754	0.008324437724651624	0.038847787604245954	0.0067926267707834435	0.001076218604074506	0.00011302353122140007	9.6869963263494e-05	0.002149453428080354	0.0009363410522351854	0.00016709168384483722	0.18320677132875562	0.0017351709988924	0.009449168477083788	0.0003217852470595618	0.00018329669628668565	0.0001064900817607183	0.0005145991728755871	0.0008044373954069334	4.578559070871463e-05	0.007251563012033383	0.010901343369809175	0.48475298673812806	0.0003968427491314884	0.0004938670458468096	0.0002629842019134261	0.00034797048938623126	0.0008849480127767518	0.007691619127676462	0.0004907289323263246
102313M_13	BBB	BBB	4	102313M.13	174	25	5	5_	5_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	10/23/2013	2013	Fall	4	FALSE	FALSE	Fall 2013	October	1	first	1	2	Low	8/25/2016	5/31/2016	August	high	2	0.1	FALSE	102313M13.fastq	102313M	4.955	28.194	5.32	0.1035	0.023333333	0.0432	0.0915	0.165666667	0.3066	0.157	0.423666667	0.005	333.6	28.194	28.194	62.65905421	74.72433679	53.72376009	7.652710496	30.06312572	0.02795082	3.41	0	93	86	27.6	35.7	39.9	951	1037	86	29.06575332	3.81242506	0.596407345	84	54377	42290	0.777718521	35.24935648	6.079054388	0.938743766	89	52180	0.959596888	0.119	0.002235704150633358	0.017885878547137232	0.14215659310935272	0.0031960711509668757	0.00041472623578678184	0.07320330236314941	5.922557579207828e-05	0.001506940064747735	0.00867519747215233	0.038745989945195	0.006476981589874513	0.0010263149488542742	0.00010775423731516478	9.234675529469041e-05	0.00204973486127795	0.0008926525889059553	0.00015927607209700588	0.17752765753426558	0.0016543415806378784	0.009010727287617313	0.0003067266564012273	0.0001747326225315582	0.00010152254872726592	0.00164595088183055	0.000766988380452341	4.367088852937006e-05	0.006913445133097817	0.012603074950677664	0.4792397182903788	0.0014278908496681674	0.00047081143307787165	0.00025069052752421536	0.0003316043423387449	0.0008435841748280115	0.00733425585223027	0.00046791639664727305
102313M_2	BBB	BBB	4	102313M.2	174	25	5	5_	5_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	10/23/2013	2013	Fall	4	FALSE	FALSE	Fall 2013	October	1	first	1	2	Medium	9/8/2016	5/31/2016	September	na	0	0.13	FALSE	102313M2.fastq	102313M	4.955	28.194	5.32	0.1035	0.023333333	0.0432	0.0915	0.165666667	0.3066	0.157	0.423666667	0.005	333.6	28.194	28.194	62.65905421	74.72433679	53.72376009	7.652710496	30.06312572	0.02795082	3.41	0	93	86	27.6	35.7	39.9	951	1051	100	31.35562006	3.922235144	0.610344468	86	55798	54281	0.972812646	43.47104727	6.013252698	0.91741112	94	54737	0.980984982	0.119	0.0027897620353214848	0.015279827716568146	0.13580792482850937	0.0032782748627715277	0.000425454563022835	0.07527606737058423	6.0793602097419535e-05	0.002662739641535155	0.008143423782940269	0.03837601164982553	0.006644921882234338	0.0014707220427938644	0.00011056584752320423	9.476353704423921e-05	0.003493870716567344	0.0009159804236549112	0.00016345829438114124	0.18353387169892815	0.0016974399049204166	0.00924369739441037	0.0003147880638405291	0.00017931093068965709	0.00010417446717024704	0.0005034092729970924	0.0007869449966865473	4.478998830025114e-05	0.008374167711430899	0.01066429491097159	0.47896340064111365	0.00038821344915521047	0.00048312796368810227	0.0005132731355890578	0.0003404039110819087	0.0008657049199336181	0.007524365753635336	0.0004800580880855007
102313M_3	BBB	BBB	4	102313M.3	174	25	5	5_	5_mitigated	1	mitigated	mitigated_middle	unreactive	Yes	Concrete	Mitigated Concrete	Normal	2	10/23/2013	2013	Fall	4	FALSE	FALSE	Fall 2013	October	1	first	1	2	Medium	9/8/2016	5/31/2016	September	na	0	0.127	FALSE	102313M3.fastq	102313M	4.955	28.194	5.32	0.1035	0.023333333	0.0432	0.0915	0.165666667	0.3066	0.157	0.423666667	0.005	333.6	28.194	28.194	62.65905421	74.72433679	53.72376009	7.652710496	30.06312572	0.02795082	3.41	0	93	86	27.6	35.7	39.9	951	1051	100	24.07812806	3.097551001	0.528774505	58	45017	44172	0.981229313	NA	NA	NA	NA	44447	0.987338117	0.119	0.0026704090691881816	0.01550404935020132	0.13319869712429155	0.003326381435624579	0.00043169783480097323	0.07471610020496179	6.168570906548091e-05	0.0015687983062166423	0.008262923283710038	0.03904490913664414	0.006835062524695987	0.0010682657563326659	0.00011218833014640857	9.615413093567927e-05	0.0021335697816009295	0.0009294218466066375	0.00016585693960652483	0.1832533308495634	0.0020477306450619615	0.009379342702003591	0.00031940737599717145	0.00018194220314595073	0.00010570316040194162	0.0005107964799519913	0.0007984929078285805	4.544725253996524e-05	0.007197976708742649	0.010820786572450938	0.48429128482038686	0.0003939102315654965	0.0004902175554872655	0.0005168731350668856	0.00034539911930373587	0.0010533039080245653	0.007634780976413284	0.0004871026314367735
101914U_1	BBB	BBB	13	101914U.1	535	77	17	17_	17_unmitigated	0	unmitigated	unmitigated_middle	reactive	Yes	Concrete	Unmitigated Concrete	Low	1	10/19/2014	2014	Fall	4	FALSE	FALSE	Fall 2014	October	2	second	3	4	Low	7/25/2016	5/19/2016	July	na	0	0.073	FALSE	101914U1.fastq	101914U	5.096666667	24.384	13.03333333	0.124	0.0432	0.044666667	0.709333333	0.4732	0.735666667	1.262	0.7388	0.006666667	1181.533333	24.384	24.384	63.08159091	77.14772727	55.09215909	7.703185438	30.04457955	0.03525641	5.5	0	119	82.9	24.2	34.5	39.9	578	645	67	14.97454083	3.184445213	0.611282027	37	10205	8857	0.867907888	7.415992386	3.696942329	0.924235582	16	8870	0.869181774	0.063666667	0.0023388672842138357	0.01603463370865021	0.13516210382292293	0.003342609779749309	0.0004338039495555895	0.07414270867103988	6.198665378083181e-05	0.0015764519680916509	0.008303235426234698	0.038748842496736276	0.006775325986683335	0.0010734774810389086	0.00011273566089113202	9.662323598452508e-05	0.002143978781681055	0.0009339561965769202	0.00016666610221866034	0.18302862890550187	0.001730751527627215	0.009425101495448542	0.00032096566175422427	0.00018282984058038386	0.00010621885209132602	0.000513288491531176	0.0008023884976580024	4.566897505375853e-05	0.007233093319778366	0.010873577706479433	0.48374743804747833	0.0003958319927693184	0.0004926091691191932	0.00026231438255597034	0.00034708421040856487	0.0008826940549154544	0.007672028614845616	0.0004894790483570816
