otu	taxonomy	num_methods	decontam_prev	prop_all	se_all	sparcc_all	subtract_neg
0050c9840b633a65d2171794d3f3a2f9	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Nocardioidaceae; g__Marmoricola	4	NA	TRUE	TRUE	TRUE	TRUE
00e0207526b92fa64d687dec94ee8ac5	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae	4	TRUE	NA	TRUE	TRUE	TRUE
01a6ed26487d761f64ef600ca90b84ae	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Polyangiaceae; g__Pajaroellobacter	2	TRUE	NA	NA	NA	TRUE
01f204b5c659f751a7bbb54c78a963b7	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas	2	TRUE	NA	NA	NA	TRUE
02474ddf8c2aeee9bd0fd0fe01d6159e	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Pantoea	3	NA	TRUE	TRUE	TRUE	NA
0258145e1c146c2f4be7cbb88a273660	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	4	NA	TRUE	TRUE	TRUE	TRUE
02aabaa50ea5d13a7caa863b045ea27e	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cardiobacteriales; f__Cardiobacteriaceae; g__Cardiobacterium; s__uncultured bacterium	4	NA	TRUE	TRUE	TRUE	TRUE
033078866cc4d0634731f24640bfd776	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae	3	NA	TRUE	TRUE	TRUE	NA
03555748a90370dc4668636077ffb6b2	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Propionibacteriales; f__Propionibacteriaceae; g__Cutibacterium	2	TRUE	NA	NA	NA	TRUE
044223e228a4eb866bb2a8a09ae45a69	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Noviherbaspirillum	1	NA	TRUE	NA	NA	NA
04d9d348fea25dbdf103712b6f9198f8	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Domibacillus	3	TRUE	NA	NA	TRUE	TRUE
054d2b807479ba1b1fac77a50b05c9a9	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	1	NA	NA	NA	TRUE	NA
05c51e7d82330e9c1d2df4e1a479fe55	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Burkholderiaceae; g__Burkholderia-Caballeronia-Paraburkholderia	4	NA	TRUE	TRUE	TRUE	TRUE
064ada6ec07ce99b7b53e6740ca140be	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__Streptococcus varani	4	NA	TRUE	TRUE	TRUE	TRUE
0843c8d6f6001c9fe632a422e49e7725	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae	3	NA	TRUE	TRUE	TRUE	NA
