sample	total_reads	post_decontam_reads	percent_read_loss	otu_n	post_decontam_otu_n	percent_otu_loss
021715M_2	32365	2547	0.9213038776456048	172	73	0.5755813953488372
021715M_5	48994	1639	0.9665469241131567	85	20	0.7647058823529411
021715M_6	45117	2495	0.9446993372786311	59	8	0.864406779661017
021715U_0	43479	506	0.9883621978426367	156	56	0.6410256410256411
021715U_7	45103	1189	0.9736381171984125	174	78	0.5517241379310345
022214M_7	21098	9879	0.5317565646032799	44	22	0.5
022214M_8	47041	4337	0.907803830700878	188	97	0.48404255319148937
022214M_9	46966	954	0.9796874334625048	46	13	0.717391304347826
022214U_2	61261	6880	0.8876936386934592	291	175	0.39862542955326463
022214U_3	25090	11047	0.5597050617776006	54	22	0.5925925925925926
022214U_4	39719	4033	0.8984616933961077	248	130	0.47580645161290325
033114M_0	50181	2439	0.9513959466730436	129	47	0.6356589147286822
033114M_4	48562	1341	0.9723858160701784	240	118	0.5083333333333333
033114M_5	45436	34284	0.24544414120961353	74	48	0.35135135135135137
033114U_10	46623	1294	0.9722454582502198	63	16	0.746031746031746
033114U_11	49413	6597	0.8664926233987007	76	27	0.6447368421052632
033114U_12	45911	1749	0.9619045544640717	218	91	0.5825688073394495
042014M_3	57390	1212	0.9788813382122321	150	52	0.6533333333333333
042014M_6	57234	1606	0.9719397560890379	156	57	0.6346153846153846
042014M_7	25701	12770	0.5031321738453757	38	16	0.5789473684210527
042014U_4	56272	4679	0.9168502985499005	183	92	0.4972677595628415
042014U_5	46584	4904	0.8947278035376953	66	28	0.5757575757575758
042014U_6	63510	3996	0.9370807746811526	87	41	0.5287356321839081
050213M_3	48891	2112	0.9568018653739953	186	93	0.5
050213M_4	54982	2843	0.9482921683460042	195	103	0.4717948717948718
050213M_7	54115	2338	0.95679571283378	120	56	0.5333333333333333
050213U_1	56095	5102	0.9090471521525982	203	125	0.3842364532019704
050213U_10	46320	3227	0.9303324697754749	262	146	0.44274809160305345
050213U_12	54074	2371	0.956152679661205	277	161	0.4187725631768953
052014M_2	52308	1745	0.9666399021182228	64	29	0.546875
052014M_3	63364	1362	0.9785051448772173	159	63	0.6037735849056604
052014M_4	59396	1847	0.9689036298740656	124	40	0.6774193548387096
052014U_14	57443	2112	0.9632331180474557	246	124	0.4959349593495935
052014U_15	56295	1115	0.9801936228794742	130	48	0.6307692307692307
052014U_4	50474	17160	0.6600229821294131	159	99	0.37735849056603776
061914M_1	35994	5010	0.8608101350225037	84	38	0.5476190476190477
061914M_2	59212	3635	0.9386104168074039	219	125	0.4292237442922374
061914M_3	61560	8730	0.8581871345029239	297	209	0.2962962962962963
061914U_1	50167	1573	0.9686447266131122	257	145	0.4357976653696498
061914U_8	57081	23506	0.5881992256617788	253	164	0.35177865612648224
061914U_9	54520	841	0.9845744680851064	196	78	0.6020408163265306
071513M_1	52135	1880	0.9639397717464275	189	90	0.5238095238095238
071513M_7	50328	2619	0.947961373390558	281	164	0.41637010676156583
071513M_9	53352	2457	0.9539473684210527	220	124	0.43636363636363634
071513U_1	44906	3275	0.9270698793034339	256	145	0.43359375
071513U_7	54336	22698	0.5822659010600707	85	41	0.5176470588235295
071513U_8	50549	1551	0.969316900433243	208	108	0.4807692307692308
071514M_17	49118	25331	0.484282747668879	334	237	0.2904191616766467
071514M_18	51360	2126	0.9586059190031153	84	27	0.6785714285714286
071514M_5	42381	5754	0.8642316132229065	172	86	0.5
071514U_10	59990	1308	0.9781963660610101	99	32	0.6767676767676768
071514U_11	47823	382	0.9920122116973005	143	48	0.6643356643356644
071514U_12	56812	2658	0.9532141096951349	291	169	0.41924398625429554
081714M_2	47822	535	0.9888126803563213	165	55	0.6666666666666666
081714M_7	51179	1632	0.9681119209050587	296	180	0.3918918918918919
081714M_8	48586	1219	0.9749104680360597	223	109	0.5112107623318386
081714U_1	57487	3863	0.9328021987579801	228	133	0.4166666666666667
081714U_5	51786	2645	0.9489244197273394	145	70	0.5172413793103449
081714U_6	52298	2498	0.9522352671230258	129	53	0.5891472868217055
090413M_1	45265	1405	0.9689605655583784	206	103	0.5
090413M_2	48246	1706	0.9646395556108278	231	103	0.5541125541125541
090413M_3	49915	1358	0.9727937493739357	236	119	0.4957627118644068
090413U_17	43251	2586	0.9402094749254353	102	42	0.5882352941176471
090413U_18	62144	2377	0.9617501287332647	135	70	0.48148148148148145
090413U_19	58660	1058	0.981963859529492	179	73	0.5921787709497207
091714M_11	44926	2153	0.9520767484307527	188	78	0.5851063829787234
091714M_12	42814	458	0.9893025645816789	171	57	0.6666666666666666
091714M_4	51357	2232	0.9565395174951808	125	49	0.608
091714U_10	45617	6996	0.8466361224981914	199	96	0.5175879396984925
091714U_13	60342	4802	0.9204202711212754	189	105	0.4444444444444444
091714U_9	53327	861	0.9838543327020084	143	51	0.6433566433566433
101914M_14	31518	10808	0.6570848404086553	86	49	0.43023255813953487
101914M_16	59492	13333	0.7758858333893632	151	93	0.3841059602649007
101914M_3	53398	1358	0.9745683358927301	118	39	0.6694915254237288
101914U_1	10205	1355	0.8672219500244978	39	14	0.6410256410256411
101914U_2	54549	1195	0.9780930906157767	169	71	0.5798816568047337
101914U_8	22073	6420	0.709146921578399	46	23	0.5
102313M_13	54377	2293	0.9578314360851096	174	91	0.47701149425287354
102313M_2	55798	734	0.9868454066453994	193	80	0.5854922279792746
102313M_3	45017	409	0.9909145433947175	143	40	0.7202797202797203
102313U_11	48665	2597	0.9466351587383129	334	213	0.36227544910179643
102313U_12	54453	1362	0.9749876039887609	186	90	0.5161290322580645
102313U_3	54921	5141	0.9063928187760601	126	53	0.5793650793650794
111914M_10	44623	1140	0.9744526365327297	106	30	0.71698113207547165
111914M_11	41044	837	0.979607250755287	191	78	0.5916230366492147
111914M_2	29020	1460	0.9496898690558235	58	12	0.7931034482758621
111914U_20	44942	29861	0.33556584041653686	242	188	0.2231404958677686
111914U_8	56269	1148	0.979598002452505	81	25	0.691358024691358
111914U_9	35381	2539	0.9282383200022611	169	69	0.591715976331361
FlyAsh_12	51541	28948	0.43835005141537803	866	753	0.13048498845265588
FlyAsh_8	38387	2053	0.9465183525672753	280	168	0.4
FlyAsh_9	41222	2914	0.9293095919654554	307	194	0.36807817589576547
Glass_21	136791	872	0.9936253116067577	103	3	0.970873786407767
Glass_6	44663	38	0.9991491838882296	236	2	0.9915254237288136
Gravel_4	49354	1377	0.9720995258742959	185	85	0.5405405405405406
Gravel_5	35431	599	0.9830939008213146	177	70	0.6045197740112994
Gravel_6	30227	1666	0.9448837132365104	140	45	0.6785714285714286
Powder_1	55696	2768	0.9503016374604999	158	80	0.4936708860759494
Powder_2	43493	1510	0.9652817694801462	145	71	0.5103448275862069
Powder_3	50418	1648	0.9673132611368955	115	40	0.6521739130434783
Sand_7	43882	40680	0.07296841529556539	402	354	0.11940298507462686
Sand_8	44957	44233	0.016104277420646396	396	379	0.04292929292929293
Sand_9	33819	33395	0.012537331086075874	343	330	0.037900874635568516
