accession	study	object_status	bioproject_accession	biosample_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	fasta_file	assembly	filename	filename2	filename3	filename4	filename5	filename6	filename7	filename8
SRR11657984	SRP259389	new	PRJNA629592	SAMN14783792	021715M_2	021715M_2	16S amplicons from  concrete sample 021715M_2: ASR unreactive and weathered for 21 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			021715M_2_S88_L001_R1_001.fastq.gz	021715M_2_S88_L001_R2_001.fastq.gz						
SRR11657983	SRP259389	new	PRJNA629592	SAMN14783793	021715M_5	021715M_5	16S amplicons from concrete sample  021715M_5: ASR unreactive and weathered for 21 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			021715M_5_S90_L001_R1_001.fastq.gz	021715M_5_S90_L001_R2_001.fastq.gz						
SRR11657967	SRP259389	new	PRJNA629592	SAMN14783794	021715M_6	021715M_6	16S amplicons from concrete sample  021715M_6: ASR unreactive and weathered for 21 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			021715M_6_S89_L001_R1_001.fastq.gz	021715M_6_S89_L001_R2_001.fastq.gz						
SRR11657956	SRP259389	new	PRJNA629592	SAMN14783795	021715U_0	021715U_0	16S amplicons from concrete sample  021715U_0: ASR reactive and weathered for 21 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			021715U_0_S87_L001_R1_001.fastq.gz	021715U_0_S87_L001_R2_001.fastq.gz						
SRR11657945	SRP259389	new	PRJNA629592	SAMN14783796	021715U_6	021715U_6	16S amplicons from concrete sample  021715U_6: ASR reactive and weathered for 21 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			021715U_6_S85_L001_R1_001.fastq.gz	021715U_6_S85_L001_R2_001.fastq.gz						
SRR11657934	SRP259389	new	PRJNA629592	SAMN14783797	021715U_7	021715U_7	16S amplicons from concrete sample  021715U_7: ASR reactive and weathered for 21 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			021715U_7_S86_L001_R1_001.fastq.gz	021715U_7_S86_L001_R2_001.fastq.gz						
SRR11657923	SRP259389	new	PRJNA629592	SAMN14783798	022214M_7	022214M_7	16S amplicons from concrete sample  022214M_7: ASR unreactive and weathered for 9 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			022214M_7_S28_L001_R1_001.fastq.gz	022214M_7_S28_L001_R2_001.fastq.gz						
SRR11657912	SRP259389	new	PRJNA629592	SAMN14783799	022214M_8	022214M_8	16S amplicons from concrete sample  022214M_8: ASR unreactive and weathered for 9 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			022214M_8_S29_L001_R1_001.fastq.gz	022214M_8_S29_L001_R2_001.fastq.gz						
SRR11657901	SRP259389	new	PRJNA629592	SAMN14783800	022214M_9	022214M_9	16S amplicons from concrete sample  022214M_9: ASR unreactive and weathered for 9 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			022214M_9_S30_L001_R1_001.fastq.gz	022214M_9_S30_L001_R2_001.fastq.gz						
SRR11657890	SRP259389	new	PRJNA629592	SAMN14783801	022214U_2	022214U_2	16S amplicons from concrete sample  022214U_2: ASR reactive and weathered for 9 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			022214U_2_S25_L001_R1_001.fastq.gz	022214U_2_S25_L001_R2_001.fastq.gz						
SRR11657982	SRP259389	new	PRJNA629592	SAMN14783802	022214U_3	022214U_3	16S amplicons from concrete sample  022214U_3: ASR reactive and weathered for 9 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			022214U_3_S26_L001_R1_001.fastq.gz	022214U_3_S26_L001_R2_001.fastq.gz						
SRR11657976	SRP259389	new	PRJNA629592	SAMN14783803	022214U_4	022214U_4	16S amplicons from concrete sample  022214U_4: ASR reactive and weathered for 9 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			022214U_4_S27_L001_R1_001.fastq.gz	022214U_4_S27_L001_R2_001.fastq.gz						
SRR11657975	SRP259389	new	PRJNA629592	SAMN14783804	033114M_0	033114M_0	16S amplicons from concrete sample  033114M_0: ASR unreactive and weathered for 10 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			033114M_0_S36_L001_R1_001.fastq.gz	033114M_0_S36_L001_R2_001.fastq.gz						
SRR11657974	SRP259389	new	PRJNA629592	SAMN14783805	033114M_4	033114M_4	16S amplicons from concrete sample  033114M_4: ASR unreactive and weathered for 10 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			033114M_4_S35_L001_R1_001.fastq.gz	033114M_4_S35_L001_R2_001.fastq.gz						
SRR11657973	SRP259389	new	PRJNA629592	SAMN14783806	033114M_5	033114M_5	16S amplicons from concrete sample  033114M_5: ASR unreactive and weathered for 10 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			033114M_5_S34_L001_R1_001.fastq.gz	033114M_5_S34_L001_R2_001.fastq.gz						
SRR11657972	SRP259389	new	PRJNA629592	SAMN14783807	033114U_10	033114U_10	16S amplicons from concrete sample  033114U_10: ASR reactive and weathered for 10 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			033114U_10_S31_L001_R1_001.fastq.gz	033114U_10_S31_L001_R2_001.fastq.gz						
SRR11657971	SRP259389	new	PRJNA629592	SAMN14783808	033114U_11	033114U_11	16S amplicons from concrete sample  033114U_11: ASR reactive and weathered for 10 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			033114U_11_S32_L001_R1_001.fastq.gz	033114U_11_S32_L001_R2_001.fastq.gz						
SRR11657970	SRP259389	new	PRJNA629592	SAMN14783809	033114U_12	033114U_12	16S amplicons from concrete sample  033114U_12: ASR reactive and weathered for 10 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			033114U_12_S33_L001_R1_001.fastq.gz	033114U_12_S33_L001_R2_001.fastq.gz						
SRR11657969	SRP259389	new	PRJNA629592	SAMN14783810	042014M_3	042014M_3	16S amplicons from concrete sample  042014M_3: ASR unreactive and weathered for 11 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			042014M_3_S40_L001_R1_001.fastq.gz	042014M_3_S40_L001_R2_001.fastq.gz						
SRR11657968	SRP259389	new	PRJNA629592	SAMN14783811	042014M_6	042014M_6	16S amplicons from concrete sample  042014M_6: ASR unreactive and weathered for 11 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			042014M_6_S41_L001_R1_001.fastq.gz	042014M_6_S41_L001_R2_001.fastq.gz						
SRR11657966	SRP259389	new	PRJNA629592	SAMN14783812	042014M_7	042014M_7	16S amplicons from concrete sample  042014M_7: ASR unreactive and weathered for 11 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			042014M_7_S42_L001_R1_001.fastq.gz	042014M_7_S42_L001_R2_001.fastq.gz						
SRR11657965	SRP259389	new	PRJNA629592	SAMN14783813	042014U_4	042014U_4	16S amplicons from concrete sample  042014U_4: ASR reactive and weathered for 11 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			042014U_4_S37_L001_R1_001.fastq.gz	042014U_4_S37_L001_R2_001.fastq.gz						
SRR11657964	SRP259389	new	PRJNA629592	SAMN14783814	042014U_5	042014U_5	16S amplicons from concrete sample  042014U_5: ASR reactive and weathered for 11 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			042014U_5_S39_L001_R1_001.fastq.gz	042014U_5_S39_L001_R2_001.fastq.gz						
SRR11657963	SRP259389	new	PRJNA629592	SAMN14783815	042014U_6	042014U_6	16S amplicons from concrete sample  042014U_6: ASR reactive and weathered for 11 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			042014U_6_S38_L001_R1_001.fastq.gz	042014U_6_S38_L001_R2_001.fastq.gz						
SRR11657962	SRP259389	new	PRJNA629592	SAMN14783816	050213M_3	050213M_3	16S amplicons from concrete sample  050213M_3: ASR unreactive and weathered for 0 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			050213M_3_S4_L001_R1_001.fastq.gz	050213M_3_S4_L001_R2_001.fastq.gz						
SRR11657961	SRP259389	new	PRJNA629592	SAMN14783817	050213M_4	050213M_4	16S amplicons from concrete sample  050213M_4: ASR unreactive and weathered for 0 months	AMPLICON	OTHER	PCR	paired	ILLUMINA	Illumina MiSeq	"Libraries created following Illumina protocol (including primers) for ""16S Metagenomic Sequencing Library Preparation"""	fastq			050213M_4_S5_L001_R1_001.fastq.gz	050213M_4_S5_L001_R2_001.fastq.gz						
